,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
,1,Tampa Bay Buccaneers,3,103,1218,195,6.2,5,3,72,97,141,1049,10,2,7.1,60,48,169,2,3.5,9,27,230,3,40.0,14.3,33.15
,2,Arizona Cardinals,3,103,1297,191,6.8,4,0,66,78,102,967,7,4,9.0,43,84,330,5,3.9,20,20,157,3,45.7,11.4,34.08
,3,Los Angeles Rams,3,95,1164,173,6.7,2,1,61,66,94,913,9,1,9.4,44,76,251,2,3.3,15,7,55,2,58.6,6.9,49.25
,4,Buffalo Bills,3,94,1166,220,5.3,3,2,72,80,128,784,7,1,5.9,41,88,382,4,4.3,26,19,164,5,47.2,8.3,25.16
,5,Kansas City Chiefs,3,92,1239,187,6.6,6,3,75,78,111,918,9,3,8.0,52,72,321,2,4.5,17,16,138,6,50.0,21.4,44.72
,6,Las Vegas Raiders,3,90,1413,225,6.3,2,0,76,88,136,1139,6,2,7.9,52,81,274,3,3.4,17,23,206,7,48.6,5.4,31.54
,7,Dallas Cowboys,3,90,1250,208,6.0,3,1,82,86,111,832,6,2,7.1,48,90,418,4,4.6,24,20,168,10,44.1,8.8,40.30
,8,Minnesota Vikings,3,87,1275,208,6.1,1,1,74,89,120,891,8,0,7.1,46,83,384,1,4.6,23,19,172,5,46.9,3.1,36.42
,9,San Francisco 49ers,3,86,1046,188,5.6,4,3,70,65,96,731,5,1,7.2,37,87,315,5,3.6,22,16,225,11,43.3,13.3,35.53
,10,Cleveland Browns,3,86,1230,191,6.4,4,2,72,59,80,706,2,2,7.9,37,102,524,8,5.1,31,17,190,4,50.0,13.3,34.87
,11,Baltimore Ravens,3,82,1274,192,6.6,5,2,66,53,87,718,3,3,7.6,32,97,556,5,5.7,31,19,195,3,47.1,14.7,25.06
,12,Denver Broncos,3,76,1162,197,5.9,2,2,68,73,95,780,4,0,7.6,38,95,382,3,4.0,22,21,202,8,53.3,6.7,38.98
,13,Seattle Seahawks,3,75,1167,157,7.4,1,1,56,63,86,844,7,0,9.0,36,63,323,3,5.1,17,21,188,3,38.7,3.2,42.50
,14,New Orleans Saints,3,73,702,165,4.3,2,0,47,39,64,341,7,2,4.8,22,94,361,2,3.8,23,19,166,2,30.3,6.1,2.69
,15,Tennessee Titans,3,71,1148,212,5.4,7,4,74,67,103,670,4,3,5.9,39,99,478,4,4.8,26,16,126,9,38.2,20.6,10.22
,16,Carolina Panthers,3,69,1177,206,5.7,2,1,73,73,107,854,3,1,7.6,47,93,323,5,3.5,17,19,151,9,38.2,5.9,28.27
,17,Green Bay Packers,3,68,905,172,5.3,3,1,60,65,95,666,6,2,6.6,38,71,239,2,3.4,12,17,170,10,41.4,10.3,20.22
,18,Cincinnati Bengals,3,68,882,165,5.3,5,1,46,53,75,568,7,4,6.7,29,80,314,1,3.9,13,17,161,4,33.3,13.9,-9.81
,19,Washington Football Team,3,67,956,168,5.7,5,2,53,62,91,665,5,3,7.1,27,74,291,2,3.9,17,22,175,9,40.6,15.6,5.37
,20,Los Angeles Chargers,3,67,1184,201,5.9,4,1,72,88,126,922,6,3,7.0,49,70,262,1,3.7,16,26,243,7,50.0,15.4,31.65
,21,Houston Texans,3,67,944,182,5.2,2,1,53,58,90,660,5,1,6.9,33,86,284,3,3.3,13,21,179,7,37.5,3.1,18.77
,22,Detroit Lions,3,67,1059,200,5.3,3,1,72,86,124,742,5,2,5.7,43,70,317,3,4.5,22,21,158,7,34.4,9.4,10.65
,23,Philadelphia Eagles,3,64,1129,175,6.5,2,0,54,64,98,741,5,2,7.2,31,72,388,2,5.4,19,35,232,4,28.1,6.3,7.25
,24,New York Giants,3,56,1051,187,5.6,2,2,61,68,104,728,2,0,6.5,35,75,323,3,4.3,17,23,182,9,40.0,6.7,16.67
,25,Indianapolis Colts,3,56,955,193,4.9,3,1,64,66,111,646,3,2,5.4,35,74,309,1,4.2,23,9,107,6,36.7,10.0,8.34
,26,New England Patriots,3,54,953,197,4.8,5,2,57,81,120,678,2,3,5.4,33,71,275,2,3.9,19,18,168,5,41.9,16.1,-10.40
,27,Jacksonville Jaguars,3,53,945,184,5.1,9,2,52,64,118,635,5,7,5.2,29,61,310,1,5.1,17,21,192,6,17.1,25.7,-12.21
,28,Pittsburgh Steelers,3,50,925,188,4.9,3,0,54,83,130,766,3,3,5.6,38,50,159,1,3.2,9,20,148,7,28.1,9.4,-7.81
,29,Atlanta Falcons,3,48,904,192,4.7,4,1,56,83,119,656,4,3,5.2,35,66,248,1,3.8,12,22,176,9,25.7,11.4,-26.34
,30,Miami Dolphins,3,45,805,200,4.0,4,2,51,73,120,527,1,2,4.1,31,70,278,3,4.0,14,22,179,6,21.9,9.4,-20.37
,31,Chicago Bears,3,40,575,172,3.3,3,1,46,50,84,272,1,2,2.7,22,73,303,2,4.2,18,16,149,6,24.1,10.3,-31.73
,32,New York Jets,3,20,750,181,4.1,7,0,45,58,105,510,2,7,4.3,26,61,240,0,3.9,14,21,196,5,11.4,20.0,-50.24
